,Unnamed: 0,label,area,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
0,0,1,1031,2.757047134912609,148.22539674441617,60.62421847807529,21.98882192124616,0.5896893527734451,0.9172597864768685,0.931903272776764,0.3571712369439772,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
5,5,6,2241,2.0352317066588936,205.4446968344225,76.99104320555823,37.82912921101714,0.6672089295930894,0.9203285420944558,0.870965290118536,0.4813617381832308,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
6,6,7,895,1.4743215239875582,115.39696961967,41.08505459210685,27.86709270918408,0.8445864137535779,0.965480043149946,0.7348052946010113,0.6750958172250102,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
8,8,9,122,1.154275174790669,40.55634918610404,13.506631762877245,11.70139673611772,0.932077420675863,0.9242424242424242,0.4994468250106266,0.8514827026723281,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,0.0,2
14,14,4,438,1.2382396740658603,78.18376618407356,26.376049071371344,21.301246942575705,0.9004317508264797,0.9563318777292577,0.5897332612873618,0.8016129875100114,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
16,16,6,182,1.632943654296378,53.21320343559643,19.560479866129,11.978661856864528,0.8076857924485777,0.9238578680203046,0.7905550336109065,0.6056510812005432,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
20,20,10,457,2.318590902963279,91.59797974644664,36.93757414600136,15.931044195331408,0.6844697728619832,0.9232323232323232,0.9022102757593576,0.426471072856367,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
24,24,14,2723,3.536090148859597,271.86500705120545,112.43843781905444,31.797390079355385,0.4629679029669546,0.8881278538812786,0.959179423643962,0.274238328939758,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
29,29,4,1428,3.063289986981444,185.9238815542512,75.64067559176026,24.69262652678088,0.5191199462945202,0.9032258064516128,0.9452157137161804,0.3177807076475325,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,0.0,2
30,30,5,2097,1.0934640333114198,173.53910524340094,54.37563084697109,49.72786410020388,0.8750111489809784,0.9748953974895398,0.4045297895841535,0.9030253290426368,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
31,31,6,1071,3.860132219609547,167.05382386916236,73.53527809333718,19.04993764715533,0.4822658307904779,0.9045608108108107,0.965861637079518,0.2521785313586707,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
52,52,27,957,3.8881523158422073,152.75230867899737,69.96686391535192,17.994887605167417,0.5154021621633171,0.9264278799612778,0.9663604379960378,0.248907074252046,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
55,55,2,1748,2.48100755443145,180.7106781186548,74.9422329494526,30.206370317411803,0.6726415040676632,0.9546695794647734,0.9151726508756652,0.396276472936208,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
67,67,14,97,1.8511552961348667,36.970562748477136,15.183263704833868,8.202047519479255,0.8918041228682748,0.9326923076923076,0.8415346167990724,0.5357369278857294,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
68,68,15,1071,2.6512179440926213,149.68124086713192,61.31266425825482,23.126225588081205,0.6007096175325546,0.9099405267629568,0.9261378803453776,0.3627431441712814,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
74,74,2,232,3.1611594846976745,69.21320343559641,31.018290734091053,9.812314400536348,0.6085831840806869,0.9027237354085604,0.9486460050232612,0.3070169683563996,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
76,76,4,321,1.5518053309908608,74.18376618407358,25.92848492173071,16.708593793252934,0.732988465517899,0.9067796610169492,0.7646795513012992,0.6079402115099767,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
78,78,6,514,1.6196897250566569,93.15432893255073,33.1387447067052,20.45993389600962,0.7443323589177354,0.927797833935018,0.7866476486365033,0.5959380711105747,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,1.0,2
79,79,7,270,1.250285895648442,62.90559159102153,20.85985352722213,16.68406690007767,0.8574229942655996,0.9246575342465754,0.600243831069535,0.7900441717978832,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
84,84,12,154,1.2560133219821137,44.38477631085024,15.748338082414218,12.538352744190467,0.9823415503634044,0.9506172839506172,0.6050731290947662,0.7906083199616889,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
85,85,13,208,1.7114180129058072,55.38477631085024,21.445298463177583,12.53071914719755,0.8521035741452083,0.9369369369369368,0.8115299799127744,0.5758498576914372,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
87,87,15,1884,2.40235979060009,189.82337649086287,76.39026546948422,31.79801200818573,0.6570393408940199,0.9524772497472194,0.9092468261757796,0.4110692385453418,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
101,101,29,628,2.890054330600967,111.39696961967,48.44872368269562,16.76394909594002,0.6359496818137451,0.9429429429429428,0.9382292547165147,0.3406474020353238,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
104,104,32,440,3.19627253404159,98.08326112068522,43.75300013854216,13.688757661480706,0.5747417505298238,0.8678500986193294,0.9497977918504203,0.2926490504495143,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
107,107,35,370,2.4587489599060017,87.66904755831213,34.993314615349874,14.23216244764072,0.6049493456869187,0.8851674641148325,0.9135569191906402,0.384717267886964,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
110,110,3,1126,1.3814389141983896,149.5391052434009,45.121397538232365,32.66260786088761,0.6327595361865072,0.9008,0.6899228615032554,0.7041795751120926,0.0,0.0,img08_20220513_ET358_56hpf_4.tif,0.0,2
112,112,5,2200,1.419901996633646,184.50966799187808,63.29534098108231,44.5772603539858,0.8120715394099425,0.9561060408518036,0.709928300063578,0.6991805071100404,0.0,0.0,img08_20220513_ET358_56hpf_4.tif,2.0,2
119,119,2,206,2.035536012925488,60.2842712474619,23.52319083864185,11.556263652065848,0.7123100204755467,0.9155555555555556,0.8710067244889111,0.4740071308494865,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,0.0,2
128,128,11,1657,1.097233221531115,155.82337649086284,48.67769503587746,44.36403681612104,0.8575652039078596,0.9729888432178508,0.4115586683280889,0.8903743001585837,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
129,129,12,2185,1.0839063921574743,199.23759005323595,55.9223398460278,51.59332969216697,0.6917015445717412,0.9333618111917984,0.3857845666754197,0.8895920458598895,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
136,136,5,163,2.0715205627982107,49.698484809834994,20.82325326760932,10.052158613130668,0.8292990574783702,0.9421965317919077,0.8757652725592552,0.4786307098401423,0.0,0.0,img12_20220513_ET358_56hpf_8.tif,0.0,2
137,137,6,1400,1.1285792393561804,181.16652224137047,45.3598036435184,40.191952910098514,0.5360212469732336,0.9216589861751152,0.4635518089028941,0.8663548730349786,0.0,0.0,img12_20220513_ET358_56hpf_8.tif,2.0,2
138,138,7,2876,2.810733089893131,239.4386001800126,102.67020605511854,36.52791025384137,0.6303915978596965,0.9602671118530884,0.9345700907636644,0.347384257140039,0.0,0.0,img12_20220513_ET358_56hpf_8.tif,2.0,2
160,160,18,208,1.464976415690181,58.04163056034261,20.232882530689125,13.81106365535379,0.7758789866169594,0.8888888888888888,0.7307876742259167,0.6469309568456726,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
164,164,22,152,1.4191470531546813,46.04163056034261,16.63992582414597,11.725300621353076,0.9010565759281012,0.9212121212121211,0.7095564352659185,0.6989577659246293,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
166,166,24,851,2.431415218363758,133.01828996322962,51.90640977387652,21.34822936939885,0.6043892112850814,0.8827800829875518,0.9115076564289568,0.4021589115859641,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
169,169,27,435,1.1373412209580749,87.59797974644667,25.32785810855002,22.26935737650862,0.712378724336499,0.9006211180124224,0.4763724128158079,0.8633809193206958,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,2.0,2
170,170,28,317,3.248836075152801,87.2842712474619,37.31366266100667,11.485240189981488,0.5228741188587872,0.9378698224852072,0.9514502591344424,0.2898902568217552,34.0,0.3961554546485732,img13_20220513_ET358_56hpf_9.tif,0.0,2
176,176,6,400,2.891852240492476,90.66904755831214,38.63484768596907,13.359896866442128,0.6114370454617525,0.9280742459396752,0.9383085628005736,0.341202104445121,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,0.0,2
184,184,14,919,2.9850851656614243,142.12489168102783,59.92087488683505,20.07342221794131,0.5717222339447583,0.9226907630522088,0.942218548117028,0.3258887275517892,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,2.0,2
186,186,16,1250,2.042399772045528,166.68124086713186,57.44106640376266,28.124301221515324,0.5653877924225045,0.9090909090909092,0.8719358625428879,0.4823642839199673,0.0,0.0,img14_20220520_hsp-mKate-DN-dynactin_56hpf_1.tif,0.0,2
194,194,1,100,1.061747363207903,36.14213562373095,11.685113402358075,11.005549726116897,0.9620158811036372,0.9174311926605504,0.336051424845584,0.932490155586358,2.0,0.0541324579768516,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
196,196,3,61,1.0366708798560786,26.72792206135785,9.028417278774912,8.70904879669074,1.0730236807041484,0.953125,0.2636211151038338,0.9528328184160112,0.0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
199,199,6,124,1.16049302925194,40.38477631085024,13.594071084062096,11.714048030796796,0.95542408658357,0.9393939393939394,0.5074134626889937,0.8543439153319097,0.0,0.0,img15_20220520_hsp-mKate-DN-dynactin_56hpf_2.tif,0.0,2
212,212,4,514,2.3418269319868315,99.59797974644664,39.75730636053177,16.977047200837013,0.6511363257094458,0.9097345132743364,0.9042435785007074,0.4140371713498648,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,0.0,2
214,214,6,2906,2.140936092352677,231.51576464628795,90.017454117068,42.0458389386802,0.6813093299484254,0.9534120734908136,0.8842122059838217,0.4566172104752151,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,2.0,2
223,223,15,925,3.195730163936737,149.53910524340094,62.88017375090208,19.67630886377517,0.5198069013965532,0.8751182592242195,0.949780299517618,0.2978683674948721,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,2.0,2
227,227,19,1187,3.4051917296248893,189.37972567696687,72.86052611278637,21.396893889676097,0.4159044974704591,0.8904726181545386,0.955907102748366,0.2846926348277409,0.0,0.0,img17_20220520_hsp-mKate-DN-dynactin_56hpf_4.tif,0.0,2
242,242,12,310,1.8571291828823075,70.18376618407356,27.3041088023773,14.702320686168257,0.7908574659131662,0.9226190476190476,0.8426475549392448,0.5294388429965354,0.0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,0.0,2
243,243,13,360,2.4640496760089894,93.84062043356592,34.21271975265768,13.884752440572491,0.5137249089202349,0.8716707021791767,0.9139459296309584,0.3915952538433312,0.0,0.0,img18_20220520_hsp-mKate-DN-dynactin_56hpf_5.tif,2.0,2
